Removed Pin From Net: NetName=VCC_BATT_FILT Pin=C60-2
Removed Pin From Net: NetName=V12P0_ARD Pin=C61-1
Removed Pin From Net: NetName=V3P3 Pin=JMP1-1
Removed Pin From Net: NetName=THRST_EN Pin=JMP1-2
Removed Pin From Net: NetName=GND Pin=JMP2-1
Removed Pin From Net: NetName=REED_P Pin=JMP2-2
Removed Pin From Net: NetName=V12P0_ARD Pin=R37-2
Removed Pin From Net: NetName=GND Pin=TB1-18
Removed Pin From Net: NetName=V12P0_ARD Pin=TP16-1
Removed Pin From Net: NetName=VCC_BATT_FILT Pin=U1-1
Removed Pin From Net: NetName=V12P0_ARD Pin=U1-3
Removed Pin From Net: NetName=GND Pin=U1-4
Removed Member From Class: ClassName=Designator Member=JMP1
Removed Member From Class: ClassName=Designator Member=JMP2
Removed Member From Class: ClassName=J2_Nets Member=MUX_S0
Removed Member From Class: ClassName=MUX_S0_Nets Member=MUX_S0
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S0
Removed Member From Class: ClassName=U5_Nets Member=MUX_S0
Removed Member From Class: ClassName=J2_Nets Member=MUX_S1
Removed Member From Class: ClassName=MUX_S1_Nets Member=MUX_S1
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S1
Removed Member From Class: ClassName=U5_Nets Member=MUX_S1
Removed Member From Class: ClassName=J2_Nets Member=MUX_S2
Removed Member From Class: ClassName=MUX_S2_Nets Member=MUX_S2
Removed Member From Class: ClassName=TB1_Nets Member=MUX_S2
Removed Member From Class: ClassName=U5_Nets Member=MUX_S2
Removed Member From Class: ClassName=C61_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=R37_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=TP16_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=U1_Nets Member=V12P0_ARD
Removed Member From Class: ClassName=C60_Nets Member=VCC_BATT_FILT
Removed Member From Class: ClassName=U1_Nets Member=VCC_BATT_FILT
Change Component Footprint: Designator=C60 Old Footprint=FP-C1608-080-0_1-IPC_A New Footprint=CAPC2013X145X50LL20T25
Change Component Footprint: Designator=U1 Old Footprint=TO-263_L New Footprint=32A_M
Change Component Comment : Designator=TP16 Old Comment= New Comment=Test Point Pad
Change Component Comment : Designator=C60 Old Comment=330nF New Comment=4.7uF
Change Component Comment : Designator=R37 Old Comment=681R New Comment=220R
Change Component Comment : Designator=U1 Old Comment=L7812ABD2T-TR New Comment=ATmega328P-AU
Change Component Kind : Designator=TB1 Old Kind=Standard New Kind=Standard (No BOM)
Change Managed Component Library Link : Designator=C60 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=0E1FFC42-F177-4346-8D34-384284695200 New ItemGUID=0F103262-0BC7-4DBF-90F5-5535FBB26756 Old RevisionGUID=B30C0EEA-69EF-4835-B136-3FA067E00B7B New RevisionGUID=86CB5F9C-2FF9-44EE-87BB-692BABD83174
Change Managed Component Library Link : Designator=R37 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D5D24C98-CF8A-4954-9316-FFC3B219B35D New ItemGUID=65E29380-3414-4DF0-BB8B-D3A658E0A0DC Old RevisionGUID=6F85F0A3-4980-4E9F-9898-FB953BC416B3 New RevisionGUID=4B001B33-88E9-4237-8F82-5DB7581C1970
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=3A237323-EBFC-4277-8F16-D8A368BAA97E New ItemGUID=56502755-F026-40EB-BCF0-36AE7BFC5A49 Old RevisionGUID=0DE0A394-932F-4E97-9E36-09646DC2029C New RevisionGUID=240D5CCC-FCC4-45D4-8C62-91D49B903782
Change component parameters: Designator = "C60" ("C60"); Footprint = "FP-C1608-080-0_1-IPC_A"; UniqueID = "\HCTMQPSF\TWJTYZWD" ("\HCTMQPSF\TWJTYZWD")
Add component (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "25 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Â±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Added Component: Designator=C85(CAPC2013X145X50LL20T25)
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "C0805C475M3PACTU"; VariantName = "[No Variations]"
Added Component: Designator=C86(0603)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KC8NNNC/5961291"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "100 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Â±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Added Component: Designator=C87(0603)
Add component (AddParameter): Name = "Case-EIA"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case-Metric"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KC8NNNC/5961291"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Thickness"; Value = "1 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage"; Value = "100 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Â±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Add Component: Footprint Not Found FP-C1608-080-0_1-IPC_A
Add Component: Footprint Not Found FP-C1608-080-0_1-IPC_A
Added Component: Designator=D13(FP-96591-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "65pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Diode"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.vishay.com/docs/89020/mss1p3l.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Schottky Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "DIODE SCHOTTKY 30V 1A MICROSMP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "http://www.vishay.com/docs/96591/microsmp_do-219ad_fredpt.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Forward Current"; Value = "1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.73mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "MSS1P3L-M3/89A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Repetitive Reverse Voltage"; Value = "30V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Surge Forward Current"; Value = "25A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Schottky Diodes & Rectifiers 1.0 Amp 30 Volt"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/mss1p3l-m3%2F89a-vishay-42670898"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "96591"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Peak Reverse Current"; Value = "15uA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "65pF"; VariantName = "[No Variations]"
Added Component: Designator=D14(LED_0805)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://optoelectronics.liteon.com/upload/download/DS22-2000-109/S_110_LTST-C171KRKT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://optoelectronics.liteon.com/upload/download/DS22-2000-109/S_110_LTST-C171KRKT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Test"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.80mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "08-Jul-2005"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Mech Layer 1 removed."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Style/Size"; Value = "Rectangle with Flat Top, 1.4mm x 1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Type"; Value = "Clear"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Flux @ Current - Test"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Lite-On Inc"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "LTST-C171AKT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Millicandela Rating"; Value = "54mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "LED; 2 Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "LED-0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.32, 10=0.248, 100=0.135, 250=0.09, 500=0.0765, 1000=0.0585 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "2.00mm L x 1.25mm W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "72989"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "160-1419-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "130°"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength - Dominant"; Value = "631nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength - Peak"; Value = "639nm"; VariantName = "[No Variations]"
Added Component: Designator=D15(LED_0805)
Add component (AddParameter): Name = "Category"; Value = "Optoelectronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Color"; Value = "Red"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://optoelectronics.liteon.com/upload/download/DS22-2000-109/S_110_LTST-C171KRKT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://optoelectronics.liteon.com/upload/download/DS22-2000-109/S_110_LTST-C171KRKT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Test"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.80mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "08-Jul-2005"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Mech Layer 1 removed."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Style/Size"; Value = "Rectangle with Flat Top, 1.4mm x 1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Type"; Value = "Clear"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Luminous Flux @ Current - Test"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Lite-On Inc"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "LTST-C171AKT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Millicandela Rating"; Value = "54mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "LED; 2 Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "LED-0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.32, 10=0.248, 100=0.135, 250=0.09, 500=0.0765, 1000=0.0585 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "2.00mm L x 1.25mm W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "72989"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "160-1419-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "130°"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength - Dominant"; Value = "631nm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength - Peak"; Value = "639nm"; VariantName = "[No Variations]"
Added Component: Designator=F1(FP-SF-0603S-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Fuse"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.bourns.com/docs/product-datasheets/sf0603s.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Circuit Protection"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Fuses"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "FUSE BOARD MNT 500MA 50VDC 0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse Blow Speed"; Value = "Slow"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse Current"; Value = "0.5A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse I2T"; Value = "0.009A2Sec"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse Interrupt Ac Current"; Value = "50A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Fuse Interrupt Dc Current"; Value = "50A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "CAPC16080X45"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Bourns Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "SF-0603S050-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Fuse Ac Voltage"; Value = "35V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Fuse Dc Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Surface Mount Fuses 0.50A Slow Blow SinglFuse"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/sf-0603s050-2-bourns-10486821"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "SF-0603S"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "232mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-20°C to +105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-20°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "232mO"; VariantName = "[No Variations]"
Added Component: Designator=J5(FP-USB4105-GF-A-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
